fromLib,toLib,isConfirmed,confidence,confidence2,ruleCountSameCommit,ruleCount,ruleFreqSameCommit,ruleFreq,methodChangeCount,apiSupport
com.google.collections:google-collections,com.google.guava:guava,TRUE,0.380852692,0.069473555,59,62,0.951612903,1,3,0.0375
com.googlecode.jmockit:jmockit,org.jmockit:jmockit,TRUE,2.30980536,0.881323302,15,16,0.9375,1,4,1
com.itextpdf:itextpdf,com.lowagie:itext,TRUE,0.666666667,0.2057378,2,2,0.666666667,0.666666667,17,1
com.itextpdf:itextpdf,org.apache.pdfbox:pdfbox,TRUE,0.470588235,0.084978249,3,3,1,1,4,0.235294118
com.lowagie:itext,com.itextpdf:itextpdf,TRUE,0.900444444,0.559505292,10,10,1,1,57,1
commons-collections:commons-collections,org.apache.commons:commons-collections4,TRUE,2.678530003,0.387092455,117,121,0.966942149,1,29,0.557692308
commons-dbcp:commons-dbcp,org.apache.commons:commons-dbcp2,TRUE,4.761340791,0.76746653,95,99,0.95959596,1,58,1
commons-httpclient:commons-httpclient,org.apache.httpcomponents:httpclient,TRUE,3.99942674,0.374837215,197,243,0.810699588,1,995,0.923005566
commons-lang:commons-lang,org.apache.commons:commons-lang3,TRUE,2.402195051,0.192009898,654,700,0.934285714,1,279,0.320689655
commons-logging:commons-logging,org.slf4j:slf4j-api,TRUE,2.760545215,0.137104783,169,240,0.704166667,1,1114,0.799139168
dumbster:dumbster,org.subethamail:subethasmtp-wiser,TRUE,3.459431619,1,10,10,1,1,21,1
httpunit:httpunit,org.httpunit:httpunit,TRUE,0.25849625,0.097182532,17,17,1,1,12,0.008141113
javassist:javassist,org.javassist:javassist,TRUE,0.552356196,0.089692211,144,144,1,1,1,0.008064516
junit:junit,org.junit.jupiter:junit-jupiter-api,TRUE,1.95790335,0.186524222,370,415,0.774058577,0.868200837,949,0.350313769
log4j:log4j,org.slf4j:slf4j-api,TRUE,2.423601981,0.099017637,263,419,0.627684964,1,1413,0.821989529
log4j:log4j,org.apache.logging.log4j:log4j-core,TRUE,0.732320966,0.067647732,389,403,0.928400955,0.961813842,10,0.005817336
log4j:log4j,org.apache.logging.log4j:log4j-api,TRUE,0.477973687,0.043124333,271,284,0.646778043,0.677804296,80,0.046538685
mockit:jmockit,com.googlecode.jmockit:jmockit,TRUE,3.700439718,1,17,17,1,1,26,1
net.sf.flexjson:flexjson,com.google.code.gson:gson,TRUE,1.584962501,0.426401433,2,2,1,1,2,1
org.apache.deltaspike.core:deltaspike-core-api,org.picketlink:picketlink,FALSE,0,0.866025404,3,3,1,1,7,1
org.apache.derby:derby,com.h2database:h2,TRUE,0.680779057,0.07634886,22,33,0.666666667,1,1,0.5
org.apache.logging.log4j:log4j-api,org.slf4j:slf4j-api,TRUE,2.210272205,0.131426001,35,46,0.760869565,1,471,0.973140496
org.apache.logging.log4j:log4j-api,log4j:log4j,TRUE,0.265623325,0.014116671,30,33,0.652173913,0.717391304,2,0.004132231
org.codehaus.jackson:jackson-core-asl,com.fasterxml.jackson.core:jackson-core,TRUE,1.544074274,0.153699592,295,320,0.828651685,0.898876404,16,0.258064516
org.codehaus.jackson:jackson-core-asl,com.fasterxml.jackson.core:jackson-databind,TRUE,0.658466548,0.061698536,323,356,0.907303371,1,5,0.080645161
org.codehaus.jackson:jackson-mapper-asl,com.fasterxml.jackson.core:jackson-databind,TRUE,5.748960777,0.499372678,505,542,0.931734317,1,115,0.782312925
org.codehaus.jackson:jackson-mapper-asl,com.fasterxml.jackson.core:jackson-core,TRUE,0.458834263,0.042050799,341,374,0.629151292,0.6900369,2,0.013605442
org.dom4j:dom4j,org.slf4j:slf4j-nop,FALSE,0,0.081649658,2,2,1,1,2,0.010869565
org.dom4j:dom4j,org.slf4j:slf4j-api,FALSE,0,0.020203051,2,2,1,1,2,0.010869565
org.easymock:easymock,org.mockito:mockito-core,TRUE,0.655826289,0.071657453,41,56,0.732142857,1,116,0.279518072
org.easytesting:fest-assert,org.assertj:assertj-core,TRUE,2.310733451,0.313949624,135,142,0.950704225,1,5,0.416666667
org.easytesting:fest-assert-core,org.assertj:assertj-core,TRUE,4.7996764,0.817184439,69,75,0.92,1,12,1
org.json:json,com.google.code.gson:gson,TRUE,0.166962141,0.014597092,21,35,0.6,1,92,0.119635891
org.lwjgl.lwjgl:lwjgl,org.lwjgl:lwjgl,TRUE,1.437524129,0.740543411,2,2,1,1,39,0.906976744
org.sonatype.jline:jline,jline:jline,TRUE,2.321928095,0.674199862,5,5,1,1,8,1
org.swinglabs:swingx,org.swinglabs.swingx:swingx-all,TRUE,1.857542476,0.653197265,4,4,0.8,0.8,2,1
org.testng:testng,junit:junit,TRUE,2.354985165,0.156059535,81,108,0.75,1,389,0.862527716
pdfbox:pdfbox,org.apache.pdfbox:pdfbox,TRUE,2,8.32E-01,9,9,1,1,2,1
postgresql:postgresql,org.postgresql:postgresql,TRUE,3.667388931,5.18E-01,276,279,0.989247312,1,4,0.571428571
saxon:saxon,net.sf.saxon:Saxon-HE,TRUE,0.174863388,0.100957424,2,2,0.666666667,0.666666667,32,0.262295082
xstream:xstream,com.thoughtworks.xstream:xstream,TRUE,0.627473918,1.18E-01,34,34,1,1,2,0.142857143
