lib,url,labels
antlr:antlr,https://mvnrepository.com/artifact/antlr/antlr,parser/antlr/compiler/generator
antlr:stringtemplate,https://mvnrepository.com/artifact/antlr/stringtemplate,parser/antlr/compiler
args4j:args4j,https://mvnrepository.com/artifact/args4j/args4j,cli/parser/command-line
asm:asm,https://mvnrepository.com/artifact/asm/asm,bytecode/asm
asm:asm-all,https://mvnrepository.com/artifact/asm/asm-all,bytecode/asm
backport-util-concurrent:backport-util-concurrent,https://mvnrepository.com/artifact/backport-util-concurrent/backport-util-concurrent,concurrent/concurrency
bcel:bcel,https://mvnrepository.com/artifact/bcel/bcel,bytecode/bcel
castor:castor,https://mvnrepository.com/artifact/castor/castor,
cglib:cglib,https://mvnrepository.com/artifact/cglib/cglib,bytecode/cglib
ch.qos.logback:logback-classic,https://mvnrepository.com/artifact/ch.qos.logback/logback-classic,logback/logging
ch.qos.logback:logback-core,https://mvnrepository.com/artifact/ch.qos.logback/logback-core,logback/logging
colt:colt,https://mvnrepository.com/artifact/colt/colt,math/vector/matrix
com.alibaba:fastjson,https://mvnrepository.com/artifact/com.alibaba/fastjson,format/json
com.beust:jcommander,https://mvnrepository.com/artifact/com.beust/jcommander,cli/parser/command-line
com.carrotsearch:hppc,https://mvnrepository.com/artifact/com.carrotsearch/hppc,collections/structures
com.datastax.cassandra:cassandra-driver-core,https://mvnrepository.com/artifact/com.datastax.cassandra/cassandra-driver-core,database/cassandra/driver/client
com.fasterxml.jackson.core:jackson-annotations,https://mvnrepository.com/artifact/com.fasterxml.jackson.core/jackson-annotations,json/annotations/jackson/metadata
com.fasterxml.jackson.core:jackson-core,https://mvnrepository.com/artifact/com.fasterxml.jackson.core/jackson-core,format/json/jackson
com.fasterxml.jackson.core:jackson-databind,https://mvnrepository.com/artifact/com.fasterxml.jackson.core/jackson-databind,format/binding/json/jackson
com.github.cliftonlabs:json-simple,https://mvnrepository.com/artifact/com.github.cliftonlabs/json-simple,github/json
com.google.code.findbugs:findbugs,https://mvnrepository.com/artifact/com.google.code.findbugs/findbugs,google/analysis/findbugs
com.google.code.gson:gson,https://mvnrepository.com/artifact/com.google.code.gson/gson,google/json/gson/format
com.google.code.svenson:svenson,https://mvnrepository.com/artifact/com.google.code.svenson/svenson,google/json/format
com.google.collections:google-collections,https://mvnrepository.com/artifact/com.google.collections/google-collections,google/collections/structures
com.google.guava:guava,https://mvnrepository.com/artifact/com.google.guava/guava,google/guava
com.google.inject:guice,https://mvnrepository.com/artifact/com.google.inject/guice,google/dependency-injection/guice
com.googlecode.jmockit:jmockit,https://mvnrepository.com/artifact/com.googlecode.jmockit/jmockit,mocking/testing
com.googlecode.json-simple:json-simple,https://mvnrepository.com/artifact/com.googlecode.json-simple/json-simple,json/format
com.h2database:h2,https://mvnrepository.com/artifact/com.h2database/h2,embedded/database/sql/h2database
com.hazelcast:hazelcast-client,https://mvnrepository.com/artifact/com.hazelcast/hazelcast-client,hazelcast/client
com.itextpdf:itextpdf,https://mvnrepository.com/artifact/com.itextpdf/itextpdf,pdf/format
com.jayway.jsonpath:json-path,https://mvnrepository.com/artifact/com.jayway.jsonpath/json-path,format/path/json/query/search/jsonpath
com.lowagie:itext,https://mvnrepository.com/artifact/com.lowagie/itext,pdf/format
com.spotify:hamcrest-optional,https://mvnrepository.com/artifact/com.spotify/hamcrest-optional,hamcrest/matching
com.squareup.okhttp3:okhttp,https://mvnrepository.com/artifact/com.squareup.okhttp3/okhttp,http/client/network
com.thoughtworks.xstream:xstream,https://mvnrepository.com/artifact/com.thoughtworks.xstream/xstream,xml
commons-cli:commons-cli,https://mvnrepository.com/artifact/commons-cli/commons-cli,command-line/cli/parser
commons-codec:commons-codec,https://mvnrepository.com/artifact/commons-codec/commons-codec,codec/base64/encoding
commons-collections:commons-collections,https://mvnrepository.com/artifact/commons-collections/commons-collections,collections/structures
commons-dbcp:commons-dbcp,https://mvnrepository.com/artifact/commons-dbcp/commons-dbcp,pooling/jdbc/pool/sql
commons-httpclient:commons-httpclient,https://mvnrepository.com/artifact/commons-httpclient/commons-httpclient,http/client/network
commons-lang:commons-lang,https://mvnrepository.com/artifact/commons-lang/commons-lang,
commons-logging:commons-logging,https://mvnrepository.com/artifact/commons-logging/commons-logging,logging
